Id,Total Compensation
0,10296.32837
1,108048.6555
2,88459.24261
3,20772.39361
4,39965.11833
5,124545.7006
6,28503.41647
7,14766.35877
8,141150.1805
9,148797.4877
10,32824.46628
11,137184.3082
12,-1856.045613
13,68325.20886
14,90054.13591
15,70190.66404
16,75967.25782
17,205380.9433
18,152545.082
19,74858.57245
20,159578.8994
21,604.3176808
22,92946.30586
23,1514.338248
24,42124.94496
25,52065.93358
26,140250.3437
27,1481.756136
28,208907.7764
29,83614.06725
30,4424.750405
31,188579.1842
32,76061.0965
33,172824.8914
34,8569.980873
35,134354.2487
36,96514.11437
37,267313.0891
38,-2208.609112
39,21734.63163
40,7260.163495
41,19954.25574
42,96616.49761
43,19241.36203
44,-1910.820769
45,100953.2883
46,-8344.213664
47,137471.4303
48,-2361.026455
49,146709.0855
50,7622.212557
51,45375.21668
52,5137.497375
53,89792.88545
54,186147.0124
55,30248.47285
56,32161.31713
57,184085.4881
58,140003.6395
59,76252.8239
60,1712.11564
61,3302.511746
62,40130.9887
63,-1076.503452
64,228084.737
65,73321.14962
66,11198.55961
67,139242.3282
68,7366.146142
69,152900.3711
70,105083.2416
71,25700.69444
72,-4531.097177
73,136247.1789
74,4357.782444
75,8082.843614
76,126965.2701
77,90017.85738
78,-1426.454423
79,146276.846
80,174361.5183
81,4046.645734
82,13633.69977
83,6104.074894
84,89788.65332
85,-1104.316297
86,105590.2742
87,201782.4882
88,1314.442284
89,317395.0744
90,113315.5863
91,137869.5233
92,219231.0459
93,-12289.27482
94,128663.7312
95,123229.832
96,1093.68747
97,77371.42081
98,50977.00664
99,5293.592495
100,343467.4358
101,129876.2957
102,232408.744
103,50484.15256
104,100784.4391
105,53162.63136
106,122656.1341
107,114753.8497
108,155106.1587
109,60812.9569
110,151487.9872
111,91935.26885
112,144428.5066
113,166998.2805
114,124769.402
115,98503.17697
116,87954.43176
117,67035.61925
118,9488.905225
119,187118.7408
120,242118.5202
121,126018.5751
122,167258.8831
123,121817.9161
124,41571.18524
125,50041.09086
126,118149.335
127,222710.9989
128,11566.84138
129,145849.2196
130,71254.87761
131,2299.451143
132,115884.2431
133,214082.874
134,2597.873085
135,70557.14713
136,212286.0345
137,3004.907079
138,301996.6928
139,209404.9631
140,49346.38611
141,8991.618552
142,54940.84142
143,206007.0974
144,942.9843289
145,-572.9913862
146,71494.28038
147,11789.35955
148,279578.8513
149,2392.214483
150,146779.3331
151,1590.754378
152,142284.2258
153,76053.65238
154,141212.1966
155,139003.9336
156,7306.23692
157,8488.457853
158,114562.5402
159,189758.4701
160,-161.101238
161,-1126.137526
162,115844.1076
163,107889.0608
164,150083.1767
165,5626.819337
166,201471.6101
167,116605.9233
168,95246.08148
169,21889.66014
170,92991.63036
171,-4911.636835
172,163964.621
173,46238.35193
174,3124.426642
175,74387.81088
176,649.2031269
177,13208.34665
178,252660.2817
179,31495.41614
180,49444.06939
181,114094.1522
182,110534.2073
183,139721.3216
184,26644.38946
185,116331.96
186,76369.4301
187,5859.488517
188,136551.5965
189,141795.9633
190,101328.738
191,147183.446
192,39722.63085
193,51968.89589
194,6282.656332
195,-3824.108794
196,-700.1079168
197,151153.899
198,109883.1636
199,278190.9206
200,142480.3959
201,196147.0375
202,3311.421201
203,115798.3652
204,127729.8061
205,25600.30974
206,2912.345686
207,188925.5508
208,164630.185
209,127855.8292
210,61808.30327
211,85106.2793
212,5008.563753
213,57177.91534
214,-123.338609
215,17245.67856
216,149241.0234
217,-2983.037766
218,165627.147
219,89626.4571
220,64746.08659
221,94919.41637
222,150403.8563
223,85693.80953
224,150023.2385
225,178788.7578
226,2707.124401
227,23247.25365
228,229852.3719
229,115355.3557
230,54170.41309
231,4631.459161
232,1191.873533
233,-2541.247747
234,267326.6948
235,106371.6325
236,37965.13298
237,217989.641
238,206.9025865
239,226898.5688
240,2191.991296
241,89667.41593
242,3195.866762
243,172579.7577
244,113207.7069
245,109027.0837
246,15040.79981
247,160945.1594
248,6850.264985
249,104644.2479
250,3211.351691
251,138082.5122
252,95607.987
253,35892.86303
254,129855.768
255,103298.7774
256,176388.1543
257,148956.4337
258,113237.1009
259,561.1742751
260,2158.489897
261,142607.3996
262,159108.481
263,1989.549564
264,10774.01555
265,73588.58209
266,7748.926863
267,-1977.340287
268,18894.83053
269,177747.3832
270,153426.8696
271,18434.49576
272,161980.7206
273,171474.7106
274,82068.37444
275,178326.9156
276,86057.40574
277,1665.136191
278,297519.6951
279,94269.29208
280,-3060.370026
281,212281.0797
282,145002.3232
283,139725.5513
284,59685.09418
285,59672.47449
286,11216.914
287,83197.23087
288,57205.87865
289,125963.09
290,202364.151
291,26484.15281
292,87300.36069
293,9181.331052
294,206759.5845
295,1737.698351
296,-886.6520787
297,149955.8377
298,160298.5127
299,115621.0793
300,6439.748781
301,3000.434669
302,33132.41925
303,93414.07523
304,92908.11456
305,96689.16363
306,-8931.952812
307,115909.7895
308,198997.4569
309,2690.740659
310,142654.9947
311,181654.6906
312,34651.06793
313,41720.14155
314,158251.6178
315,303353.9582
316,91732.14623
317,52499.51129
318,74604.43312
319,144531.1785
320,4723.043918
321,3920.415073
322,127053.3449
323,35829.75914
324,-2086.695007
325,61159.62831
326,56860.69669
327,6832.526651
328,7157.277374
329,194985.8874
330,99559.58409
331,129433.3175
332,2716.427285
333,19035.20548
334,137726.8769
335,211808.2937
336,134893.7108
337,32820.76495
338,114363.2437
339,136541.4389
340,23292.81587
341,58873.52394
342,118588.3291
343,8545.293253
344,44658.30235
345,5949.55662
346,8694.198456
347,-3805.252852
348,404448.5017
349,176674.0565
350,146475.8831
351,89445.64824
352,25310.9228
353,100486.1051
354,57101.34036
355,1378.19725
356,2723.152772
357,172659.7291
358,2549.311031
359,-2571.898145
360,15553.67462
361,205837.7405
362,71350.48708
363,78658.498
364,-1646.298827
365,121892.2454
366,10066.92015
367,116856.1903
368,96348.42241
369,2193.801489
370,32885.65585
371,112359.2947
372,1370.458651
373,561.4127214
374,129132.9179
375,155671.9562
376,5671.044448
377,19841.97049
378,92640.03319
379,134655.6025
380,188819.6894
381,8758.237437
382,73487.88841
383,6365.59088
384,18878.75181
385,3902.287586
386,140341.1522
387,46653.3836
388,151538.142
389,180326.9734
390,143720.8902
391,129052.6922
392,85532.51064
393,159403.0714
394,301388.3469
395,44184.45013
396,-3349.727384
397,44008.16327
398,-662.2984079
399,134385.6753
400,19298.26993
401,216208.713
402,3258.253328
403,2692.722598
404,175670.6403
405,194380.2926
406,152789.9088
407,238290.6627
408,-1248.087564
409,195486.7716
410,191310.8478
411,67770.56035
412,-396.6003855
413,109628.0176
414,230021.8712
415,85101.29943
416,257429.4971
417,2986.645302
418,3047.840378
419,124028.5562
420,93648.20445
421,47838.52228
422,2987.483731
423,127797.578
424,146314.5128
425,7997.913446
426,120341.9956
427,168691.6491
428,61757.04809
429,172314.139
430,4732.633373
431,148602.9803
432,108319.3603
433,157757.1578
434,180018.9148
435,104844.7842
436,998.4492957
437,145209.8933
438,74386.05555
439,1086.662426
440,105554.6553
441,126229.8261
442,29694.23446
443,21247.38613
444,2436.770614
445,165098.9117
446,140718.1741
447,31472.79343
448,23375.24229
449,284117.094
450,5965.162939
451,-454.0711333
452,131719.8467
453,-2399.872051
454,3153.750618
455,-8000.439208
456,151454.3771
457,139109.1966
458,3297.644276
459,1492.786015
460,3347.868026
461,-1592.619897
462,145863.0238
463,68756.5727
464,212347.8103
465,195317.8645
466,4292.334972
467,31341.45372
468,72223.78334
469,100454.0567
470,69265.51447
471,-113.4165076
472,7918.179603
473,216658.5927
474,122249.0504
475,2021.554894
476,862.4190435
477,-203.9068203
478,-3143.51886
479,118231.1696
480,148239.0383
481,123187.3358
482,173315.6945
483,7993.280362
484,36921.30461
485,5728.181547
486,386.121375
487,29983.43548
488,61665.96413
489,987.9905238
490,2999.73601
491,13893.04953
492,21710.29109
493,14086.30457
494,4402.923153
495,125095.4767
496,11229.48835
497,240924.1788
498,83706.63558
499,78902.54879
500,150917.0626
501,87479.6536
502,41473.86628
503,72523.37067
504,24388.70518
505,45673.03674
506,168230.9668
507,25569.41096
508,121588.6718
509,996.6159589
510,83933.84307
511,72057.24196
512,34921.14475
513,174658.3142
514,79636.39362
515,170078.7256
516,198982.2614
517,4733.155269
518,1720.015788
519,7188.893077
520,120336.595
521,53466.80393
522,135911.4291
523,-1207.612115
524,108004.375
525,1882.372226
526,71121.08527
527,12842.44034
528,95975.40627
529,3974.370491
530,158976.6528
531,590.5910928
532,219799.4517
533,7529.287475
534,177769.6133
535,110627.3235
536,96791.90513
537,159543.3511
538,89954.59888
539,108313.5627
540,143385.3912
541,58681.08867
542,143006.4414
543,-51.71162709
544,65784.00705
545,9725.046706
546,157278.7674
547,75923.89918
548,127150.9895
549,72655.20233
550,70133.59071
551,5195.467923
552,104184.7178
553,244731.1329
554,112184.3519
555,61043.55742
556,-400.727295
557,261814.5594
558,1613.871692
559,197022.5252
560,32788.75966
561,3070.201089
562,199183.0875
563,126636.8574
564,131641.1447
565,104045.6766
566,104514.3309
567,1320.019268
568,102676.6669
569,324.1409901
570,184815.8459
571,108696.8883
572,126486.0173
573,5081.768608
574,110241.3323
575,178071.9326
576,129277.3341
577,18488.57364
578,141711.1397
579,100841.5966
580,182623.0188
581,32827.19278
582,189011.0015
583,3898.594039
584,161630.8863
585,3215.274642
586,306343.4637
587,114427.3842
588,4854.624304
589,567.705176
590,47189.99097
591,149526.9321
592,8931.3212
593,9241.505809
594,-10224.97328
595,148475.2617
596,133234.9779
597,60316.6411
598,145409.6415
599,159878.8081
600,15716.54589
601,-331.0692647
602,151451.3554
603,179458.5923
604,138014.8671
605,2456.320528
606,146371.748
607,120014.7753
608,4053.745376
609,80775.31461
610,25471.83979
611,97426.43236
612,-9342.781941
613,93922.51947
614,208003.2715
615,83600.72631
616,124001.7881
617,50453.54002
618,58089.39143
619,7534.051305
620,16784.96586
621,120214.7627
622,50348.41237
623,34542.65768
624,59582.67848
625,86957.72943
626,125676.4484
627,-6622.289981
628,107346.0854
629,-4668.152008
630,61319.01028
631,114386.4566
632,-8053.574897
633,9086.309435
634,139785.3554
635,85504.4826
636,128523.1433
637,110271.4219
638,77506.25966
639,146896.1887
640,195166.8976
641,145024.239
642,143674.4721
643,119668.5347
644,146651.7688
645,76924.60077
646,70677.8072
647,53373.30813
648,81346.41994
649,64014.73768
650,74860.99213
651,70224.42181
652,73050.75467
653,141387.3713
654,137252.1936
655,86593.34585
656,-1478.922678
657,108410.5388
658,114845.0227
659,31848.69038
660,162300.4124
661,121789.6208
662,117189.831
663,66603.5982
664,85091.69889
665,1131.370887
666,147701.6499
667,34990.02861
668,-828.5871481
669,211704.9229
670,104080.6191
671,131417.472
672,3675.94554
673,-3684.939699
674,121.6395016
675,162150.4941
676,135633.3465
677,72673.44424
678,13160.38327
679,3043.521147
680,135837.9391
681,4191.30631
682,164157.8417
683,194737.7419
684,336655.9216
685,12585.31551
686,119933.3583
687,1972.192231
688,15839.74282
689,85714.01654
690,123340.0767
691,222549.6775
692,153279.1664
693,-1496.678265
694,109913.2918
695,9712.443393
696,-1277.383704
697,94138.76637
698,176318.4144
699,73779.80407
700,169791.5688
701,115661.9296
702,5947.241229
703,104697.8567
704,179664.8813
705,12580.46037
706,179607.539
707,5293.239429
708,248475.7911
709,131683.0433
710,247812.2473
711,56694.76138
712,4594.731121
713,153500.0028
714,-4455.743148
715,137000.3096
716,-1090.525664
717,88563.20785
718,107631.4453
719,92463.67868
720,34179.7885
721,2875.669814
722,1535.365494
723,105683.4207
724,-2764.355362
725,19520.6749
726,2559.599714
727,194927.748
728,1711.746542
729,76381.53843
730,129815.1874
731,172574.1715
732,54632.79803
733,9856.581602
734,165253.9483
735,109625.4063
736,2060.248931
737,129495.4635
738,152721.9444
739,2076.350062
740,251598.0808
741,76103.69752
742,1658.683884
743,39298.94028
744,73009.39727
745,149325.1741
746,202568.6074
747,145105.1036
748,135339.09
749,9419.40654
750,173276.0695
751,54390.92788
752,233481.6539
753,87798.29313
754,113806.683
755,67480.40809
756,152133.1815
757,236196.737
758,152972.9587
759,14725.91236
760,23757.73979
761,6680.33507
762,4437.467523
763,122102.1716
764,104795.9544
765,2766.999156
766,206545.886
767,153964.0695
768,19563.75777
769,297867.312
770,26422.94015
771,4039.817876
772,122738.9695
773,87132.77005
774,82547.78743
775,186662.9252
776,170785.88
777,5578.258702
778,207545.8768
779,145727.0332
780,163152.6584
781,29807.4964
782,88912.86698
783,58976.01595
784,96210.9368
785,25588.56685
786,744.6897967
787,99173.48382
788,5656.122309
789,174006.3702
790,204926.629
791,131903.019
792,11837.09105
793,81581.79473
794,30367.57515
795,14249.9591
